INFO 2022-04-15 11:15:48,928 autoreload 4596 4438162944 Watching for file changes with StatReloader
INFO 2022-04-15 11:35:51,014 basehttp 4741 123145595248640 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2022-04-15 11:35:58,747 basehttp 4741 123145561669632 "GET /admin/home/category/ HTTP/1.1" 200 19978
INFO 2022-04-15 11:35:58,948 basehttp 4741 123145561669632 "GET /admin/jsi18n/ HTTP/1.1" 200 15618
INFO 2022-04-15 11:36:05,409 basehttp 4741 123145561669632 "GET /admin/auth/group/ HTTP/1.1" 200 17030
INFO 2022-04-15 11:36:05,603 basehttp 4741 123145561669632 "GET /admin/jsi18n/ HTTP/1.1" 200 15618
INFO 2022-04-15 11:36:07,684 basehttp 4741 123145561669632 "GET /admin/home/news_columns/ HTTP/1.1" 200 26641
INFO 2022-04-15 11:36:07,971 basehttp 4741 123145612038144 "GET /media/photos/2022/04/07/images.png HTTP/1.1" 200 5124
INFO 2022-04-15 11:36:07,980 basehttp 4741 123145561669632 "GET /admin/jsi18n/ HTTP/1.1" 200 15618
INFO 2022-04-15 11:36:12,625 basehttp 4741 123145612038144 "GET /admin/home/news_columns/add/ HTTP/1.1" 200 23652
INFO 2022-04-15 11:36:12,690 basehttp 4741 123145561669632 "GET /static/ckeditor/ckeditor-init.js HTTP/1.1" 200 1498
INFO 2022-04-15 11:36:12,728 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/ckeditor.js HTTP/1.1" 200 753458
INFO 2022-04-15 11:36:12,866 basehttp 4741 123145612038144 "GET /admin/jsi18n/ HTTP/1.1" 200 15618
INFO 2022-04-15 11:36:13,208 basehttp 4741 123145612038144 "GET /static/ckeditor/ckeditor/config.js?t=M2G9 HTTP/1.1" 200 336
INFO 2022-04-15 11:36:13,425 basehttp 4741 123145612038144 "GET /static/ckeditor/ckeditor/skins/moono-lisa/editor.css?t=M2G9 HTTP/1.1" 200 48309
INFO 2022-04-15 11:36:13,431 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/lang/ru.js?t=M2G9 HTTP/1.1" 200 27350
INFO 2022-04-15 11:36:13,460 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/styles.js?t=M2G9 HTTP/1.1" 200 5577
INFO 2022-04-15 11:36:13,474 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css?t=M2G9 HTTP/1.1" 200 381
INFO 2022-04-15 11:36:13,482 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/plugins/scayt/dialogs/dialog.css?t=M2G9 HTTP/1.1" 200 419
INFO 2022-04-15 11:36:13,483 basehttp 4741 123145612038144 "GET /static/ckeditor/ckeditor/plugins/tableselection/styles/tableselection.css?t=M2G9 HTTP/1.1" 200 1145
INFO 2022-04-15 11:36:13,486 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/plugins/dialog/styles/dialog.css?t=M2G9 HTTP/1.1" 200 249
INFO 2022-04-15 11:36:13,499 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/plugins/copyformatting/styles/copyformatting.css?t=M2G9 HTTP/1.1" 200 1511
INFO 2022-04-15 11:36:13,548 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/skins/moono-lisa/icons_hidpi.png?t=5fe059002f HTTP/1.1" 200 38309
INFO 2022-04-15 11:36:13,589 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/contents.css?t=M2G9 HTTP/1.1" 200 3092
INFO 2022-04-15 11:36:33,479 basehttp 4741 123145595248640 "GET /static/ckeditor/ckeditor/plugins/link/dialogs/link.js?t=M2G9 HTTP/1.1" 200 13234
INFO 2022-04-15 11:36:33,489 basehttp 4741 123145612038144 "GET /static/ckeditor/ckeditor/skins/moono-lisa/dialog.css?t=M2G9 HTTP/1.1" 200 13634
INFO 2022-04-15 11:36:33,552 basehttp 4741 123145612038144 "GET /static/ckeditor/ckeditor/skins/moono-lisa/images/hidpi/close.png HTTP/1.1" 200 1238
